,entity,label,count
584,"('Gazprom', 'Mediale')",PER,1
585,"('Gazprom',)",PER,1
586,"('Deutsche', 'Banki')",ORG,1
587,"('Media', 'Mosti')",ORG,1
588,"('Ted', 'Turner')",PER,2
589,"('Venemaalt',)",LOC,8
590,"('Mihhail', 'Deljagin')",PER,1
591,"('Läti', 'Pank')",ORG,1
592,"('Venta',)",LOC,4
593,"('Läti', 'Panga')",ORG,1
594,"('Edzus', 'Vejins')",PER,1
595,"('Keskpank',)",ORG,1
596,"('Suurbritannia', 'Regional', 'Property', 'Developments', 'Ltd')",ORG,1
597,"('Saules', 'Banka')",ORG,1
598,"('Juri', 'Štšetinin')",PER,1
599,"('VEF', 'Banka')",ORG,1
600,"('Gints', 'Zeltins')",PER,1
601,"('Tallinna', 'Linnavaraamet')",ORG,1
602,"('Tallinna', 'lahe')",LOC,1
603,"('Tallinna', 'Elamumajandusametile')",ORG,1
604,"('Vabaduse',)",ORG,4
605,"('Kinnistud', 'Logi')",PER,1
606,"('Tallinna', 'Kesklinna')",LOC,2
607,"('Eesti', 'Loto')",ORG,1
608,"('Viljandimaalt',)",LOC,1
609,"('Toome',)",LOC,1
610,"('Viljandis',)",LOC,3
611,"('Eesti', 'Lotos')",ORG,1
612,"('AS', 'Sampo', 'Pank')",ORG,1
613,"('Optiva', 'Panga')",ORG,1
614,"('Tallinna', 'linn')",LOC,3
615,"('Raekojas',)",PER,1
616,"('AS-i', 'Tallinna', 'Vesi')",ORG,5
617,"('International', 'Water', 'United', 'Utilities')",ORG,1
618,"('Tallinna', 'linna')",LOC,1
619,"('Jüri', 'Mõis')",PER,3
620,"('Kalle', 'Tiiter')",PER,1
621,"('International', 'Water', 'UU-d')",ORG,1
622,"('International', 'Water', 'UU')",ORG,2
623,"('Tim', 'Lowe')",PER,1
624,"('UU', ""International'i"")",ORG,1
625,"('Gordon', 'Waters')",PER,1
626,"('International', ""Water'i"")",ORG,1
627,"('Patrick', 'Jeantet')",PER,1
